Youtube ID,time_start,time_end,Tag
s16dbvrTyOo,23,33,Bad
s7TI6VFba1c,13,23,Bad
s9a0Jw_fL5E,3,13,Bad
sozgBkP7O5o,0,6,Bad
t06H6xj6SVc,12,22,Bad
tbpNDH45I7A,0,10,Bad
tC8dXJcX6Lk,33,43,Bad
tEiNPWq-y3o,12,22,Bad
tk7F2zDizx8,0,10,Bad
uacedTdmIsQ,77,87,Bad
udARDir1LMY,20,30,Bad
uGG-BtRb5tk,3,13,Bad
um5B6D-sPGs,208,218,Bad
vEugNNA7dw4,0,10,Bad
w39etcUXoVE,0,10,Bad
wqkL0EWAbh0,33,43,Bad
y5z35kYgnEg,143,150,Bad
y7yTHu9frpg,475,485,Bad
zedNZXDjnpI,36,46,Bad
zJvL6ZsTTBI,25,35,Bad
zlaBC7mHQ0k,27,37,Bad
0LjEtt9Nfx4,34,44,Bad
1yzf-FzcD78,6,16,Bad
2yUABRHxHwc,9,19,Bad
3VDlDWDYpiw,1,11,Bad
4XiT7ZUGi1U,52,62,Bad
5Ffpvz_1vzw,7,17,Bad
5MHiTtndWR4,8,18,Bad
5S6npWlcEzM,10,20,Bad
78oXqVnpv78,17,27,Bad
7LAjPEcr6kA,0,9,Bad
7hn_hMHp9vk,11,21,Bad
rhSCbH0x5aY,7,17,Good
rKEKM8aDjIs,196,206,Good
sjbyEx20ou4,0,8,Good
tbJa0D7Z2Fs,31,41,Good
tQDYQTQf8eg,39,49,Good
u2fr6LJncLE,10,20,Good
u4eXGXXeoxo,83,93,Good
uM8WU3ZLq9Q,12,22,Good
v-gBCLJepGg,113,117,Good
vemIp-Fc2e8,0,7,Good
w-XVXVTgSB8,44,54,Good
wH8VN_C8iT4,3,13,Good
wlbca2YxzdU,31,41,Good
wMR7yXP21K0,0,8,Good
xec_am8o0Ow,52,62,Good
xIljGV7oEN4,0,10,Good
xKTzJvhfpwQ,12,22,Good
xljpzBCaL7A,25,35,Good
y5wdKlQXaLA,11,17,Good
yUeX_bWwvmA,30,40,Good
z1236xvP7Gs,19,29,Good
zPcU2Yxdrio,67,74,Good
0AG1T0yRt9U,210,220,Good
1KjlNugmF0Q,24,34,Good
1pRleWbPD1o,655,665,Good
2hlknf5qEg0,46,56,Good
2oNBFMWvsME,0,8,Good
4Vr3ndIDj14,35,45,Good
4Z6o0uz2koo,91,101,Good
4c09rCAM8vU,0,2,Good
53kwuZBqUYw,33,43,Good
5vZ2l_vtbkY,60,70,Good
68-NoB4cxO4,45,55,Good
6l4QDdfohpc,283,293,Good
6l9xfRJ6-s4,0,10,Good
6nnTaqP9enI,35,45,Good
7E1db5JNxPo,540,550,Good
7f1Fo6ke7FQ,10,20,Good
7hF24PwbIrE,3,13,Good
7loA2rd_f94,3,13,Good
7nEjp1QhZaE,0,10,Good
8Hjd3rWgto4,76,86,Good
